danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url
0.657,0.883,9,-4.294,0,0.0733,0.0238,0.0,0.0481,0.461,129.943,281521,4,https://api.spotify.com/v1/audio-analysis/3BDqzkxxTRAao8eZqdMp0u
0.711,0.903,6,-2.723,0,0.246,0.327,0.0,0.0887,0.469,140.02,284981,4,https://api.spotify.com/v1/audio-analysis/2UKv5osm51ObzZYACaZezr
0.775,0.271,1,-9.131,0,0.092,0.554,0.00285,0.112,0.204,104.001,196998,3,https://api.spotify.com/v1/audio-analysis/6ePyl2ns4b7MVYhjsj32ZK
0.557,0.719,2,-4.515,0,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,4,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo
0.57,0.422,1,-7.561,0,0.0422,0.372,0.0,0.127,0.169,113.007,242293,4,https://api.spotify.com/v1/audio-analysis/48XfojJC87VKLlUotYV0Gm
0.664,0.688,11,-6.466,0,0.0543,0.153,9.14e-05,0.173,0.65,106.022,230063,4,https://api.spotify.com/v1/audio-analysis/38td8VabuKlQt72Q2VnhbO
0.519,0.828,5,-5.523,1,0.365,0.214,0.0,0.0571,0.929,139.413,211224,4,https://api.spotify.com/v1/audio-analysis/01dmH2IPkrLNWIMPNXlreE
0.636,0.876,9,-4.652,1,0.0617,0.0487,0.0,0.0728,0.759,149.932,221529,4,https://api.spotify.com/v1/audio-analysis/645YBsxhFPSOKxGep3uHLv
0.541,0.661,1,-5.838,1,0.0889,0.103,0.0,0.0779,0.285,149.926,275696,4,https://api.spotify.com/v1/audio-analysis/22ryCgQttpV7oCrn7llGRu
0.769,0.817,0,-4.092,0,0.0339,0.0268,9.95e-05,0.084,0.866,139.979,218615,4,https://api.spotify.com/v1/audio-analysis/1trFxVLL8WKhYap543e74l
0.813,0.875,1,-2.92,0,0.0918,0.0237,0.0,0.288,0.756,99.004,232966,4,https://api.spotify.com/v1/audio-analysis/4lRwa7PKcGIuJMwtPIYKdy
0.656,0.883,9,-4.294,0,0.0737,0.0238,0.0,0.0481,0.46,129.947,281521,4,https://api.spotify.com/v1/audio-analysis/4CvId64YZSB0RfRdfzPIQU
0.711,0.903,6,-2.723,0,0.247,0.327,0.0,0.0887,0.467,140.015,284981,4,https://api.spotify.com/v1/audio-analysis/5p10VwQ8LRoyTc8LFrvPw6
0.589,0.824,10,-6.402,0,0.26,0.552,0.0275,0.133,0.207,115.3,86053,4,https://api.spotify.com/v1/audio-analysis/3asJVXjbxNEOwPUL47wvcc
0.659,0.769,0,-4.262,0,0.0831,0.0366,0.0,0.405,0.398,122.006,227920,4,https://api.spotify.com/v1/audio-analysis/6yGKx4J9UdMp7tcaGXWzDj
0.61,0.892,0,-3.52,0,0.108,0.0704,0.0,0.315,0.576,93.039,216707,4,https://api.spotify.com/v1/audio-analysis/6u1ILVDFXcmQGQGCA3h849
0.574,0.761,1,-3.579,0,0.0849,0.00335,0.0,0.0645,0.597,129.817,223707,4,https://api.spotify.com/v1/audio-analysis/4Bkh5uDlP14vneIoRG0umC
0.598,0.938,0,-4.068,0,0.143,0.00191,0.0,0.88,0.672,110.021,233880,4,https://api.spotify.com/v1/audio-analysis/6aJj9OlLiZVagW8fd8ZtK3
0.664,0.913,3,-4.474,0,0.148,0.0136,0.0,0.1,0.622,169.974,238227,4,https://api.spotify.com/v1/audio-analysis/3N6te5xi59Ex4HudLKsgGS
0.62,0.778,8,-4.622,0,0.0724,0.116,0.0,0.312,0.386,147.012,227413,4,https://api.spotify.com/v1/audio-analysis/3zIG0WuI5RoJsFYnErkFDU
0.837,0.69,10,-4.705,0,0.088,0.222,0.0,0.0833,0.847,136.07,237307,4,https://api.spotify.com/v1/audio-analysis/0YguyyCOTyujhSDXWyB4W3
0.618,0.766,3,-4.507,1,0.0323,0.117,0.0,0.121,0.448,113.997,323360,4,https://api.spotify.com/v1/audio-analysis/6NbfFVZ01Ttvvqmcok8DxL
0.572,0.825,8,-4.383,1,0.037,0.104,0.0,0.085,0.424,106.976,276840,4,https://api.spotify.com/v1/audio-analysis/4a8guR4owPEdDyLsPIC6HP
0.558,0.863,4,-3.53,1,0.178,0.17,0.0,0.289,0.388,173.908,299707,4,https://api.spotify.com/v1/audio-analysis/1OqDvYVDhJyFZny7XlfIyZ
0.729,0.386,2,-5.623,1,0.382,0.864,0.574,0.114,0.0567,90.138,74747,4,https://api.spotify.com/v1/audio-analysis/0qrPZ27AhOahJivGsDbUSS
0.477,0.581,8,-8.795,1,0.119,0.523,0.0,0.201,0.282,129.571,139972,4,https://api.spotify.com/v1/audio-analysis/6xf2WKugbdvkltx8HPtMth
0.599,0.775,1,-4.018,0,0.0543,0.0217,0.0,0.0678,0.696,129.817,223123,4,https://api.spotify.com/v1/audio-analysis/35FNfIOs3J1DGDKuDoahRx
0.655,0.756,8,-4.388,1,0.07,0.0298,0.0,0.396,0.469,121.936,227191,4,https://api.spotify.com/v1/audio-analysis/0ef5dS9koP6QNPMdOueg4v
0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872,196776,4,https://api.spotify.com/v1/audio-analysis/3koVXejNP4AUxYTCl3g0yv
0.583,0.712,2,-4.942,0,0.0326,0.2,0.0,0.268,0.778,94.051,245621,4,https://api.spotify.com/v1/audio-analysis/5TKhAIdfBgwfkhuSzNeUHE
0.315,0.694,3,-15.389,1,0.398,0.38,0.000203,0.66,0.327,90.586,107062,3,https://api.spotify.com/v1/audio-analysis/3tHdxakZXfXLtVlXfJsONL
0.667,0.889,6,-4.851,1,0.0917,0.00912,0.0,0.0816,0.541,169.961,238193,4,https://api.spotify.com/v1/audio-analysis/2x1FVq8OWvB6U9QE4wUtpo
0.856,0.617,10,-5.308,0,0.084,0.171,0.0,0.0857,0.759,136.081,235780,4,https://api.spotify.com/v1/audio-analysis/5S3JyppRlfFJEQ2483OXqw
0.48,0.927,3,-5.704,1,0.27,0.317,0.0,0.0583,0.45,88.804,228613,4,https://api.spotify.com/v1/audio-analysis/68VyLnTpNSeuGUOghdt6MS
0.476,0.581,8,-8.795,1,0.12,0.523,0.0,0.201,0.282,129.568,139972,4,https://api.spotify.com/v1/audio-analysis/7iV733e1KacKrFRaBNxVEf
0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,223123,4,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH
0.651,0.756,8,-4.388,1,0.0762,0.0298,0.0,0.396,0.473,121.96,227191,4,https://api.spotify.com/v1/audio-analysis/2tdq0CeAGSfhI2l4Gwkvgx
0.612,0.844,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,https://api.spotify.com/v1/audio-analysis/3ryjLm3oupIjJFGc39naNi
0.583,0.712,2,-4.942,0,0.0326,0.2,0.0,0.268,0.776,94.051,245621,4,https://api.spotify.com/v1/audio-analysis/0ffweDHrg4bZqdG4IfGYuo
0.252,0.694,0,-15.389,0,0.429,0.38,0.000203,0.66,0.325,87.293,107062,3,https://api.spotify.com/v1/audio-analysis/7KXEhfjwdxHVra8VcT2QHH
0.667,0.889,6,-4.851,1,0.0918,0.00912,0.0,0.0816,0.541,169.959,238193,4,https://api.spotify.com/v1/audio-analysis/2SYa5Lx1uoCvyDIW4oee9b
0.856,0.617,10,-5.308,0,0.0841,0.171,0.0,0.0857,0.759,136.082,235780,4,https://api.spotify.com/v1/audio-analysis/5nq1uTNIR1cBR72T87viS0
